Date,Price,Return
2015-11-23,2807.15,-0.003708627
2015-11-24,2799.89,-0.002589603
2015-11-25,2810.36,0.003732458
2015-11-26,2800.11,-0.003653887
2015-11-27,2694.29,-0.038523983
2015-11-30,2701.15,0.002542889
2015-12-01,2722.01,0.00769297
2015-12-02,2769.7,0.017368433
2015-12-03,2774.54,0.001745957
2015-12-04,2741.38,-0.012023524
2015-12-07,2748.98,0.002768491
2015-12-08,2704.48,-0.016320277
2015-12-09,2693.1,-0.004216711
2015-12-10,2678.88,-0.00529415
2015-12-11,2642.46,-0.013688495
2015-12-14,2673.36,0.011625807
2015-12-15,2676.57,0.001200016
2015-12-16,2693.61,0.006346177
2015-12-17,2722.04,0.010499298
2015-12-18,2719.01,-0.001113756
2015-12-21,2766.5,0.01731514
2015-12-22,2775.53,0.003258737
2015-12-23,2778.22,0.000968715
2015-12-24,2768.79,-0.003400033
2015-12-25,2775.25,0.002330432
2015-12-28,2715.53,-0.021753687
2015-12-29,2734.33,0.006899287
2015-12-30,2725.93,-0.003076779
2015-12-31,2712.5,-0.004938935
2016-01-01,2712.5,0
2016-01-04,2551.88,-0.061040376
2016-01-05,2549.78,-0.000823261
2016-01-06,2559.82,0.003929863
2016-01-07,2401.97,-0.06364771
2016-01-08,2430.35,0.011746046
2016-01-11,2328.31,-0.042892597
2016-01-12,2335.82,0.003220325
2016-01-13,2305.06,-0.013256301
2016-01-14,2331.64,0.011465176
2016-01-15,2262.17,-0.030247353
2016-01-18,2262.43,0.000114927
2016-01-19,2324.5,0.027065505
2016-01-20,2272.3,-0.022712428
2016-01-21,2220.46,-0.023078153
2016-01-22,2262.16,0.018605727
2016-01-25,2279.09,0.007456131
2016-01-26,2176.37,-0.046117889
2016-01-27,2171.55,-0.002217153
2016-01-28,2137.34,-0.015879133
2016-01-29,2197.18,0.027612655
2016-02-01,2175.01,-0.010141458
2016-02-02,2188.06,0.005982044
2016-02-03,2161.48,-0.012222134
2016-02-04,2193.39,0.01465512
2016-02-05,2184.96,-0.00385077
2016-02-08,2180.71,-0.00194701
2016-02-09,2178.59,-0.000972633
2016-02-10,2181.7,0.001426511
2016-02-11,2144.59,-0.017155997
2016-02-12,2138.6,-0.002796983
2016-02-15,2176,0.01733692
2016-02-16,2236.9,0.02760265
2016-02-17,2242.51,0.002504795
2016-02-18,2259.98,0.007760189
2016-02-19,2259.36,-0.000274376
2016-02-22,2299.19,0.0174753
2016-02-23,2278.36,-0.009101001
2016-02-24,2279.02,0.00028964
2016-02-25,2176.98,-0.045806931
2016-02-26,2209.93,0.015022246
2016-02-29,2164.77,-0.020646721
2016-03-01,2206.7,0.019184067
2016-03-02,2278.95,0.032216624
2016-03-03,2283.2,0.001863157
2016-03-04,2312.89,0.012919857
2016-03-07,2326.08,0.005686622
2016-03-08,2318.21,-0.003389111
2016-03-09,2296.15,-0.009561529
2016-03-10,2270.55,-0.011211714
2016-03-11,2294.52,0.010501578
2016-03-14,2328.48,0.014692023
2016-03-15,2316.82,-0.005020138
2016-03-16,2320.56,0.00161298
2016-03-17,2355.43,0.014914765
2016-03-18,2394.59,0.016488725
2016-03-21,2424.61,0.01245866
2016-03-22,2415.07,-0.003942415
2016-03-23,2411.49,-0.001483458
2016-03-24,2376.94,-0.014430868
2016-03-25,2384.47,0.003162931
2016-03-28,2373.96,-0.004417431
2016-03-29,2363.28,-0.004508962
2016-03-30,2427.3,0.026729044
2016-03-31,2432.17,0.002004334
2016-04-01,2424.89,-0.0029977
2016-04-04,2424.39,-0.000206216
2016-04-05,2426.42,0.000836974
2016-04-06,2429.17,0.001132715
2016-04-07,2411.94,-0.007118232
2016-04-08,2405.05,-0.00286071
2016-04-11,2432.27,0.011254284
2016-04-12,2433.36,0.000448041
2016-04-13,2485.01,0.021003665
2016-04-14,2490.08,0.002038155
2016-04-15,2488.67,-0.000566407
2016-04-18,2464.2,-0.00988122
2016-04-19,2479.45,0.00616955
2016-04-20,2441.38,-0.015473308
2016-04-21,2443.91,0.001035763
2016-04-22,2436.04,-0.003225446
2016-04-25,2414.98,-0.008682765
2016-04-26,2423.34,0.003455748
2016-04-27,2414.7,-0.003571698
2016-04-28,2413.18,-0.000629676
2016-04-29,2403.66,-0.003952804
2016-05-02,2398.06,-0.002332499
2016-05-03,2407.59,0.00396617
2016-05-04,2396.74,-0.004516767
2016-05-05,2395.52,-0.000509154
2016-05-06,2346.98,-0.020470931
2016-05-09,2310.22,-0.015786637
2016-05-10,2314.56,0.001876847
2016-05-11,2316.27,0.000738529
2016-05-12,2313.29,-0.00128738
2016-05-13,2296.13,-0.007445657
2016-05-16,2321.34,0.010919508
2016-05-17,2327.05,0.002456766
2016-05-18,2298.96,-0.012144524
2016-05-19,2285.08,-0.006055812
2016-05-20,2299.21,0.006164551
2016-05-23,2303.3,0.001777292
2016-05-24,2300.85,-0.001064257
2016-05-25,2308.6,0.00336266
2016-05-26,2315.45,0.002962773
2016-05-27,2332.6,0.007379472
2016-05-30,2331.08,-0.000651846
2016-05-31,2378.69,0.020218236
2016-06-01,2367.15,-0.004863216
2016-06-02,2372.9,0.002426136
2016-06-03,2381,0.003407732
2016-06-06,2393.04,0.005043957
2016-06-07,2402.78,0.004061876
2016-06-08,2394.99,-0.003247345
2016-06-09,2394.81,-7.52E-05
2016-06-10,2374.35,-0.00858018
2016-06-13,2311.5,-0.026827051
2016-06-14,2313,0.000648719
2016-06-15,2340.81,0.01195164
2016-06-16,2321.01,-0.008494588
2016-06-17,2326.35,0.00229808
2016-06-20,2344.7,0.007856946
2016-06-21,2346.26,0.000665109
2016-06-22,2362.38,0.006847014
2016-06-23,2356.93,-0.002309661
2016-06-24,2306.31,-0.02171108
2016-06-27,2315.3,0.003890424
2016-06-28,2322.95,0.003298661
2016-06-29,2344.43,0.009204372
2016-06-30,2363.93,0.008283186
2016-07-01,2362.35,-0.000668602
2016-07-04,2393.82,0.01323353
2016-07-05,2383.4,-0.004362377
2016-07-06,2371.32,-0.005081278
2016-07-07,2386.29,0.006293096
2016-07-08,2371.81,-0.006086482
2016-07-11,2401.75,0.012544262
2016-07-12,2441.63,0.016468211
2016-07-13,2444.76,0.00128111
2016-07-14,2454.74,0.004073891
2016-07-15,2458.13,0.001380049
2016-07-18,2459.21,0.000439262
2016-07-19,2447.23,-0.004883387
2016-07-20,2455.33,0.003304399
2016-07-21,2464.25,0.00362633
2016-07-22,2449.35,-0.006064818
2016-07-25,2449.66,0.000126556
2016-07-26,2471.49,0.008871968
2016-07-27,2455.39,-0.0065356
2016-07-28,2459.82,0.001802568
2016-07-29,2436.94,-0.009345023
2016-08-01,2441.89,0.002029176
2016-08-02,2444.81,0.001195081
2016-08-03,2434.69,-0.004147972
2016-08-04,2437.14,0.001005782
2016-08-05,2448.89,0.00480964
2016-08-08,2471.85,0.009331997
2016-08-09,2483.93,0.004875125
2016-08-10,2490.07,0.002468839
2016-08-11,2497.08,0.002811227
2016-08-12,2534.34,0.014811199
